id,emocao,padrao_emocional,sistema_primario,sistema_secundario,peso,escala,sentido,pergunta,aprofundar,chacra,territorio,fonte,status
EMO-101,desânimo para começar as coisas,estagnação,fungico,metabolico,3,frequencia,direto,Você adia começar coisas mesmo sabendo que precisa fazer?,"Adia o quê, principalmente? E o que costuma te fazer finalmente começar?",,comportamento,material 11/08 (padrão do Fúngico: estagnação e desordem),rascunho
EMO-102,sensação de vida bagunçada,desordem,fungico,,2,frequencia,direto,Você sente que sua vida está desorganizada e não consegue pôr ordem?,O que na sua rotina hoje mais atrapalha organizar as coisas?,,comportamento,material 11/08 (padrão do Fúngico: estagnação e desordem),rascunho
EMO-103,peso para sair do lugar,inércia,fungico,mental_emocional_espiritual,2,frequencia,direto,Você sente um peso para sair do lugar mesmo querendo mudar?,"O que você já tentou mudar, e o que costuma acontecer quando tenta?",raiz,emocoes,material 11/08 (padrão do Fúngico),rascunho
EMO-201,irritação com coisas pequenas,reatividade,acido_inflamatorio,mental_emocional_espiritual,3,frequencia,direto,Você se irrita com facilidade por coisas pequenas?,"Com quem isso acontece mais, e o que estava acontecendo no dia?",plexo_solar,emocoes,material 11/08 (padrão do Ácido-Inflamatório: irritação e reatividade),rascunho
EMO-202,raiva que sobe rápido,reatividade,acido_inflamatorio,,3,frequencia,direto,Sua raiva sobe rápido e demora a passar?,"Como o corpo avisa que a raiva está subindo, e o que ajuda a baixar?",plexo_solar,emocoes,material 11/08 (padrão do Ácido-Inflamatório),rascunho
EMO-203,dificuldade de dizer não,limite ausente,acido_inflamatorio,detox_linfatico,2,frequencia,direto,Você costuma aceitar o que não quer para evitar conflito?,"Com quem isso acontece mais, e o que você sente depois de ter aceitado?",plexo_solar,emocoes,material 11/08 (impacto espiritual: bloqueio no plexo solar),rascunho
EMO-204,engolir o que gostaria de dizer,poder pessoal contido,acido_inflamatorio,,2,frequencia,direto,Você engole o que gostaria de dizer para não criar problema?,"O que você gostaria de ter dito da última vez, e o que te impediu?",laringeo,emocoes,material 11/08 (impacto espiritual: bloqueio no plexo solar),rascunho
EMO-301,sensação de vazio,falta de propósito,metabolico,mental_emocional_espiritual,3,frequencia,direto,Você sente um vazio que a comida parece tentar preencher?,Em que momentos do dia esse vazio costuma aparecer?,sacral,emocoes,material 11/08 (padrão do Metabólico: vazio e falta de propósito),rascunho
EMO-302,vida no automático,ausência de sentido,metabolico,mental_emocional_espiritual,3,frequencia,direto,Você passa os dias no piloto automático sem perceber o que está fazendo?,"Quando foi a última vez que você sentiu que estava escolhendo, e não só cumprindo?",,mente,livro p. 56 (Propósito de Vida e Nutrição),rascunho
EMO-303,comida como recompensa,alimento no lugar do afeto,metabolico,,2,frequencia,direto,Você usa comida como recompensa depois de um dia difícil?,"Que tipo de dia costuma pedir essa recompensa, e o que ela te dá naquele momento?",sacral,comportamento,livro p. 90 (Trava da Resistência ao Prazer),rascunho
EMO-401,mágoa antiga não resolvida,acúmulo,detox_linfatico,,3,frequencia,direto,Você se pega remoendo uma mágoa antiga?,O que costuma trazer essa lembrança de volta?,cardiaco,emocoes,material 11/08 (padrão do Detox: acúmulo de mágoas),rascunho
EMO-402,emoção guardada sem processar,retenção emocional,detox_linfatico,mental_emocional_espiritual,3,frequencia,direto,Você costuma guardar o que sente em vez de falar?,"Com quem você conseguiria falar sobre isso, se fosse falar?",laringeo,emocoes,material 11/08 (padrão do Detox: emoções não processadas),rascunho
EMO-403,dificuldade de receber cuidado,não se permite receber,detox_linfatico,,2,frequencia,direto,Você tem dificuldade de aceitar ajuda ou cuidado das pessoas?,O que você sente quando alguém se oferece para ajudar?,cardiaco,emocoes,material 11/08 (padrão do Detox),rascunho
EMO-501,autocrítica severa,narrativa interna hostil,mental_emocional_espiritual,,3,frequencia,direto,Você fala consigo mesmo de um jeito que não falaria com um amigo?,Que frase você costuma dizer a si mesmo nessas horas?,,mente,livro p. 92 (Reparentalização Nutricional),rascunho
EMO-502,pensamento tudo ou nada,perfeição,mental_emocional_espiritual,metabolico,3,frequencia,direto,Quando você sai da linha um dia você sente que perdeu tudo e abandona?,"O que costuma ser esse ""sair da linha"", e quanto tempo leva até você voltar?",,mente,livro p. 89 (Trava da Perfeição),rascunho
EMO-503,identidade fixa sobre si,identidade limitante,mental_emocional_espiritual,,3,frequencia,direto,Você se descreve com frases como sempre fui assim ou não tenho força de vontade?,"Quem primeiro te disse isso, e quando você começou a repetir?",,mente,livro p. 89 (Trava da Identidade Limitante),rascunho
EMO-504,culpa depois de comer,vergonha alimentar,mental_emocional_espiritual,metabolico,3,frequencia,direto,Você sente culpa ou vergonha depois de comer?,Depois de quais alimentos ou situações essa culpa é maior?,,emocoes,livro p. 90 (Trava do Trauma Alimentar),rascunho
EMO-505,corpo visto como adversário,desconexão de si,mental_emocional_espiritual,,3,frequencia,direto,Você sente que seu corpo trabalha contra você?,Em que momento da vida essa sensação começou?,,mente,livro p. 91 (Trava da Desconexão Corpo-Mente),rascunho
EMO-507,desconexão de si mesmo,não se reconhece,mental_emocional_espiritual,,3,frequencia,invertido,Você olha para sua vida hoje e se reconhece nela?,O que na sua vida hoje mais parece de outra pessoa?,coronario,mente,material 11/08 (padrão do Mental-Emocional: desconexão de si),rascunho
