id,sintoma,sinonimos,sistema,peso,escala,sentido,pergunta,aprofundar,chacra,territorio,fonte,status
SNT-101,vontade intensa e recorrente de doce,fissura por açúcar;desejo de carboidrato,fungico,2,frequencia,direto,Você sente vontade forte de doce ou pão quase todo dia?,"Em que horário do dia essa vontade costuma aparecer, e o que estava acontecendo antes?",sacral,comportamento,rascunho-literatura-funcional,rascunho
SNT-102,distensão abdominal após refeição,barriga estufada;inchaço depois de comer;gases,fungico,3,frequencia,direto,Sua barriga incha ou dá gases depois das refeições?,"Depois de quais refeições isso é pior, e quanto tempo leva para passar?",plexo_solar,corpo,rascunho-literatura-funcional,rascunho
SNT-103,língua com saburra branca,língua branca;placa na língua,fungico,3,frequencia,direto,Sua língua costuma ter uma camada esbranquiçada?,"Você percebe a língua pior em algum período — de manhã, depois de doce, em semanas mais corridas?",,corpo,rascunho-literatura-funcional,rascunho
SNT-104,candidíase de repetição,corrimento;candidíase oral;sapinho,fungico,3,frequencia,direto,Você tem candidíase ou sapinho com frequência?,"Quantas vezes isso aconteceu no último ano, e o que costuma vir junto quando volta?",sacral,corpo,rascunho-literatura-funcional,rascunho
SNT-105,micose recorrente,frieira;pé de atleta;micose de unha,fungico,3,frequencia,direto,Você tem micose de pele ou unha que volta sempre?,"Há quanto tempo isso vem e voltando, e o que já foi tentado até aqui?",,corpo,rascunho-literatura-funcional,rascunho
SNT-106,coceira anal ou genital,prurido,fungico,2,frequencia,direto,Você sente coceira na região íntima ou anal?,"Isso piora em algum momento do ciclo, da rotina ou da alimentação?",sacral,corpo,rascunho-literatura-funcional,rascunho
SNT-107,névoa mental após carboidrato,cabeça pesada;confusão depois de comer,fungico,2,frequencia,direto,Sua cabeça fica pesada ou confusa depois de comer massa ou doce?,"Quanto tempo depois de comer isso aparece, e quanto tempo dura?",frontal,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-108,caspa ou coceira no couro cabeludo,dermatite seborreica,fungico,1,frequencia,direto,Você tem caspa ou coceira no couro cabeludo com frequência?,Piora em períodos de mais estresse ou quando a alimentação sai da linha?,,corpo,rascunho-literatura-funcional,rascunho
SNT-109,histórico de uso repetido de antibiótico,muitos antibióticos,fungico,2,frequencia,direto,Você precisou tomar antibiótico ao longo da vida?,Você lembra por quais motivos e em que fases da vida isso aconteceu mais?,,historia,rascunho-literatura-funcional,rascunho
SNT-110,intolerância a álcool,fica mal com pouca bebida,fungico,2,frequencia,direto,Você passa mal com pouca bebida alcoólica?,"O que exatamente você sente, e a partir de quanto isso começa?",,corpo,rascunho-literatura-funcional,rascunho
SNT-111,sinusite ou rinite crônica,nariz entupido sempre,fungico,1,frequencia,direto,Você vive com nariz entupido ou sinusite?,"Isso tem estação, ambiente ou alimento que piora?",,corpo,rascunho-literatura-funcional,rascunho
SNT-201,dor articular sem esforço,dor nas juntas;dor sem ter feito nada,acido_inflamatorio,3,frequencia,direto,Você sente dor nas articulações mesmo sem ter feito esforço?,"Quais articulações, e a dor muda com repouso, movimento ou com o que você comeu?",,corpo,rascunho-literatura-funcional,rascunho
SNT-202,rigidez ao acordar,corpo travado de manhã,acido_inflamatorio,3,frequencia,direto,Você acorda com o corpo travado que leva um tempo para soltar?,"Quanto tempo leva para o corpo soltar, e isso mudou depois de algum período da sua vida?",,corpo,rascunho-literatura-funcional,rascunho
SNT-203,dor muscular difusa,corpo dolorido;fibromialgia,acido_inflamatorio,2,frequencia,direto,Você sente o corpo dolorido sem causa clara?,"Essa dor anda junto com sono ruim, estresse ou algum alimento?",,corpo,rascunho-literatura-funcional,rascunho
