id,dimensao,item,leitura,sistema,peso,escala,sentido,pergunta,aprofundar,chacra,territorio,fonte,status
ESP-101,proposito,ausência de direção,vive no automático sem sentido percebido,metabolico,3,intensidade,invertido,Você sente que sua vida tem uma direção clara?,"Se essa direção ficasse clara amanhã, o que mudaria no seu dia?",coronario,espirito,livro p. 56 (Propósito de Vida e Nutrição),rascunho
ESP-102,proposito,não sabe qual é a própria contribuição,propósito não formulado,mental_emocional_espiritual,2,intensidade,invertido,Você sabe dizer o que veio fazer nesta vida?,O que as pessoas costumam te procurar para pedir?,coronario,espirito,livro p. 57 (Reconexão com o Propósito),rascunho
ESP-103,proposito,rotina desalinhada do que diz querer,incongruência entre desejo e vida,metabolico,2,intensidade,direto,Sua rotina de hoje te afasta do que você quer para a sua vida?,O que na sua rotina hoje mais te afasta disso — e o que seria possível mudar primeiro?,,ambiente,livro p. 57 (Avaliação de Alinhamento),rascunho
ESP-201,valor,incoerência entre valor e escolha alimentar,vive o oposto do que diz valorizar,mental_emocional_espiritual,3,frequencia,invertido,Suas escolhas alimentares combinam com aquilo que você diz valorizar?,Em que situações essa distância entre o que você valoriza e o que você come é maior?,,espirito,livro p. 54 (A Nutrição como Expressão de Propósito e Valores),rascunho
ESP-202,valor,não sabe nomear os próprios valores,valores não clarificados,mental_emocional_espiritual,2,intensidade,invertido,Você tem clareza sobre o que é inegociável para você?,"Se você tivesse que escolher uma coisa inegociável, qual seria?",,espirito,livro p. 57 (Clarificação de Valores),rascunho
ESP-203,principio,abre mão do que é inegociável,princípio cedido,acido_inflamatorio,2,frequencia,direto,Você abre mão do que é inegociável para você só para agradar alguém?,"Para quem isso acontece mais, e o que costuma vir depois que você cede?",plexo_solar,espirito,livro p. 46 (princípios inegociáveis),rascunho
ESP-301,fe,desconexão com algo maior,perda de sustentação transcendente,mental_emocional_espiritual,2,intensidade,invertido,Você sente que existe algo maior te sustentando?,"Em que momentos você mais sente isso, e em quais menos?",coronario,espirito,livro p. 38 (O Pilar Espiritual),rascunho
ESP-302,fe,ausência de gratidão no cotidiano,não reconhece o que já tem,mental_emocional_espiritual,2,frequencia,invertido,Você reserva um momento do dia para agradecer alguma coisa?,"O que você agradeceria hoje, se fosse agradecer alguma coisa?",coronario,espirito,livro p. 60 (Gratidão Consciente),rascunho
ESP-303,fe,come sem nenhum momento de pausa,ato alimentar dessacralizado,metabolico,2,frequencia,direto,Você começa a comer sem fazer nenhuma pausa antes?,"Como costumam ser suas refeições — em pé, na frente da tela, conversando?",,comportamento,livro p. 62 (Pausa Consciente),rascunho
ESP-401,bloqueio,crença de não merecimento,sabota o próprio cuidado,mental_emocional_espiritual,3,frequencia,direto,Você sente que não merece as coisas boas que conquista?,O que costuma acontecer logo depois de algo bom te acontecer?,cardiaco,mente,livro p. 86 (Investigação de Crenças Limitantes),rascunho
ESP-402,bloqueio,autossabotagem recorrente,boicota o que estava dando certo,mental_emocional_espiritual,3,frequencia,direto,Quando as coisas começam a dar certo você acaba boicotando?,Como esse boicote costuma começar? Descreva a última vez.,,comportamento,livro p. 89 (travas mentais e emocionais),rascunho
ESP-403,bloqueio,história limitante sobre si,narrativa herdada não questionada,mental_emocional_espiritual,2,frequencia,direto,Você repete sobre si mesmo histórias que ouviu na família e nunca questionou?,Que frase sobre você se repetia na sua família?,,historia,livro p. 91 (Biografia Consciente),rascunho
ESP-404,bloqueio,saúde associada a sofrimento,acredita que cuidar dói,acido_inflamatorio,2,intensidade,direto,Você acredita que para ter saúde precisa sofrer ou se privar?,De onde você acha que veio essa ideia de que cuidar tem que doer?,,mente,livro p. 90 (Trava da Resistência ao Prazer),rascunho
ESP-405,bloqueio,mágoa que trava o fluxo,perdão não elaborado,detox_linfatico,3,frequencia,direto,Você carrega o peso de não ter conseguido perdoar alguém?,O que carregar isso tem custado a você?,cardiaco,emocoes,material 11/08 (padrão do Detox: acúmulo de mágoas),rascunho
ESP-501,conexao,desconexão com a natureza,perda de vínculo com os ciclos,fungico,2,frequencia,invertido,Você passa algum tempo em contato com a natureza?,O que hoje impede que isso aconteça com mais frequência?,raiz,ambiente,livro p. 39 (alimentação como ato sagrado),rascunho
ESP-502,conexao,come sempre sozinho e com pressa,perda da comunhão,detox_linfatico,2,frequencia,direto,Você faz suas refeições sozinho e com pressa?,"Como são suas refeições num dia comum — com quem, onde, em quanto tempo?",cardiaco,ambiente,livro p. 63 (Comunhão Consciente),rascunho
