sistema,eixo,praticas,ordem,fonte,status
fungico,Reprogramação Metabólica,"microbiota, anti-inflamatório, nutrientes",1,app.js ate 13/09 — roteamento a confirmar,rascunho
fungico,Inteligência Espiritual,"práticas contemplativas, consciência",2,app.js ate 13/09 — roteamento a confirmar,rascunho
acido_inflamatorio,Reprogramação Metabólica,"anti-inflamatório, detoxificação",1,app.js ate 13/09 — roteamento a confirmar,rascunho
acido_inflamatorio,Neuroregulação,"estratégias vagais, respiração",2,app.js ate 13/09 — roteamento a confirmar,rascunho
metabolico,Reprogramação Metabólica,"metabolismo, suplementação, nutrientes",1,app.js ate 13/09 — roteamento a confirmar,rascunho
metabolico,Neuroregulação,"dopamina natural, sono",2,app.js ate 13/09 — roteamento a confirmar,rascunho
metabolico,Inteligência Espiritual,"propósito, autopercepção",3,app.js ate 13/09 — roteamento a confirmar,rascunho
detox_linfatico,Reprogramação Metabólica,"detoxificação, microbiota",1,app.js ate 13/09 — roteamento a confirmar,rascunho
detox_linfatico,Neuroregulação,"respiração, grounding",2,app.js ate 13/09 — roteamento a confirmar,rascunho
mental_emocional_espiritual,Neuroregulação,"estratégias vagais, sono, mindfulness",1,app.js ate 13/09 — roteamento a confirmar,rascunho
mental_emocional_espiritual,Inteligência Espiritual,"coerência interna, journaling, consciência",2,app.js ate 13/09 — roteamento a confirmar,rascunho
