id,condicao,leitura,tipo,investigar,prioridade,fonte,status
CMB-001,metabolico <= 3 E mental_emocional_espiritual <= 3,Paciente vivendo em estado crônico de ameaça,leitura,,1,material HOLOSCAN bloco 1,confirmado
CMB-002,fungico <= 3 E metabolico <= 4,Terreno fúngico sustentado por oferta constante de açúcar,leitura,"o que há de doce e de ultraprocessado num dia comum, e há quanto tempo",2,rascunho-literatura-funcional,rascunho
CMB-003,detox_linfatico <= 4 E acido_inflamatorio <= 4 E fungico >= 7,Sobrecarga com pouco componente fúngico — olhar fígado e intestino antes de microbiota,leitura,"função hepática, hábito intestinal e exposição a medicamento ou álcool",2,rascunho-literatura-funcional,rascunho
CMB-004,mental_emocional_espiritual <= 2 E indice <= 40,Dimensão mental-emocional puxando o quadro inteiro para baixo,leitura,"há quanto tempo está assim, e se houve um evento que marcou a virada",1,rascunho-literatura-funcional,rascunho
CMB-005,acido_inflamatorio <= 3 E mental_emocional_espiritual <= 4,Inflamação acompanhada de reatividade emocional sustentada,leitura,"sono, dor e o que costuma anteceder as crises de irritação",2,rascunho-literatura-funcional,rascunho
CMB-006,marcador.SNT-502 >= 2 E marcador.SNT-506 >= 2 E marcador.SNT-304 >= 2,Noite em alerta sustentando a compulsão — o sono vem antes da dieta,leitura,"a rotina das duas horas antes de dormir, e o que acontece nos dias em que ela dorme melhor",1,rascunho-literatura-funcional,rascunho
CMB-007,marcador.EMO-301 >= 2 E marcador.EMO-303 >= 2 E triada.espiritual <= 4,Comida ocupando o lugar do que falta de sentido,leitura,"em que momentos do dia o vazio aparece, e o que já ocupou esse lugar antes",1,rascunho-literatura-funcional,rascunho
CMB-008,marcador.EMO-203 >= 2 E marcador.EMO-204 >= 2 E acido_inflamatorio <= 4,Limite ausente acompanhando o quadro inflamatório,leitura,"com quem isso acontece, e o que ela sente no corpo depois de ceder",2,"material 11/08 (impacto espiritual: bloqueio no plexo solar)",rascunho
CMB-009,marcador.EMO-401 >= 2 E marcador.EMO-402 >= 2 E detox_linfatico <= 4,Retenção emocional acompanhando a retenção física,leitura,"há quanto tempo carrega isso, e com quem conseguiria falar a respeito",2,"material 11/08 (padrão do Detox: acúmulo de mágoas)",rascunho
CMB-010,marcador.EMO-501 >= 2 E marcador.EMO-502 >= 2 E marcador.EMO-504 >= 2,Ciclo de perfeição e abandono — a culpa reiniciando a compulsão,leitura,"o que costuma ser o sair da linha, e quanto tempo leva até ela voltar",1,livro p. 89-90 (Travas da Perfeição e do Trauma Alimentar),rascunho
CMB-011,marcador.ESP-502 >= 2 E marcador.ESP-303 >= 2 E marcador.SNT-102 >= 2,Ato alimentar sem pausa nem contexto acompanhando a queixa digestiva,leitura,"onde e com quem ela come num dia comum, e em quanto tempo",2,livro p. 62-63 (Pausa e Comunhão Conscientes),rascunho
CMB-012,marcador.SNT-507 >= 2 E marcador.SNT-505 >= 2,Fome e saciedade fora do alcance — comer regulado por emoção e não por sinal,leitura,"como ela decide que é hora de comer e que é hora de parar",1,livro p. 91 (Trava da Desconexão Corpo-Mente),rascunho
CMB-013,marcador.SNT-210 >= 2,Exame inflamatório alterado relatado — leitura e conduta são do médico,encaminhar,encaminhar ao médico com os exames antes de qualquer conduta nutricional,1,escopo — diagnóstico e conduta sobre exame são ato médico,rascunho
CMB-014,marcador.SNT-309 >= 2 E marcador.SNT-306 >= 2,Alteração lipídica relatada com sinal de resistência insulínica — pede avaliação médica,encaminhar,"encaminhar para rastreio médico; a conduta nutricional acompanha, não substitui",1,escopo — diagnóstico metabólico é ato médico,rascunho
CMB-015,marcador.SNT-104 >= 2 E marcador.SNT-105 >= 2,Infecção fúngica de repetição relatada — pede avaliação médica,encaminhar,encaminhar para avaliação médica; quadro de repetição não se resolve só por alimentação,1,escopo — diagnóstico e tratamento de infecção são ato médico,rascunho
CMB-016,mental_emocional_espiritual <= 2 E marcador.SNT-510 >= 2 E marcador.SNT-506 >= 2,Sofrimento mental sustentado com isolamento — pede avaliação em saúde mental,encaminhar,"conversar sobre encaminhamento a psicólogo ou psiquiatra, e seguir acompanhando o nutricional em paralelo",1,escopo — sofrimento mental é de outro profissional,rascunho
