sistema,faixa,registro,texto,primeiros_passos,fonte,status
fungico,baixo,nutri,O Fúngico é o terreno mais carregado deste mapa. Os sinais de mucosa e pele aparecem junto com a vontade recorrente de doce — e o padrão emocional que o material associa a ele é estagnação e desordem.,"Priorizar este sistema. Começar pela oferta de açúcar e pelo histórico de antibiótico, e observar se os sinais de mucosa voltam em ciclo.",rascunho 13/09,rascunho
fungico,baixo,paciente,"Seu corpo vem dando sinais de que o terreno está desorganizado: aquilo que volta sempre — na pele, na boca, no intestino — costuma andar junto com a vontade forte de doce.","Observar o que acontece com seu corpo nas horas depois de comer massa ou doce, e anotar o que você percebe.",rascunho 13/09,rascunho
fungico,medio,nutri,"O Fúngico tem sinais presentes, mas ainda não dominantes. Vale olhar quais marcadores pesaram antes de intervir aqui.","Conferir os marcadores de maior peso do sistema antes de montar conduta específica.",rascunho 13/09,rascunho
fungico,medio,paciente,"Existem sinais aparecendo neste terreno, e ainda dá para agir cedo.",Observar o que muda no seu corpo depois das refeições com mais açúcar.,rascunho 13/09,rascunho
fungico,alto,nutri,O Fúngico está equilibrado hoje. Não é prioridade de conduta neste momento.,Manter observação nas próximas reavaliações.,rascunho 13/09,rascunho
fungico,alto,paciente,Este terreno está bem hoje.,Seguir com o que já está funcionando.,rascunho 13/09,rascunho
acido_inflamatorio,baixo,nutri,"O Ácido-Inflamatório é o terreno mais carregado deste mapa: dor sem causa mecânica clara, rigidez ao acordar e mucosas reagindo mais do que deveriam. O padrão emocional associado é irritação e reatividade.","Priorizar este sistema. Investigar sono, o que antecede as crises de dor, e a relação com ultraprocessado. Dor articular persistente é queixa médica — encaminhar.",rascunho 13/09,rascunho
acido_inflamatorio,baixo,paciente,"Seu corpo está reagindo mais do que precisaria — e isso aparece de dois jeitos ao mesmo tempo: na dor e na paciência que fica curta.","Reparar em que momentos do dia a dor e a irritação aparecem, e o que veio antes.",rascunho 13/09,rascunho
acido_inflamatorio,medio,nutri,"O Ácido-Inflamatório tem sinais presentes sem dominar o quadro. Vale conferir os marcadores de dor e o par emocional antes de intervir.",Verificar os marcadores de dor e de reatividade emocional.,rascunho 13/09,rascunho
acido_inflamatorio,medio,paciente,Há sinais de irritação aparecendo — no corpo e no humor.,Observar em que momentos do dia a irritação aparece.,rascunho 13/09,rascunho
acido_inflamatorio,alto,nutri,O Ácido-Inflamatório está equilibrado hoje.,Manter observação.,rascunho 13/09,rascunho
acido_inflamatorio,alto,paciente,Este terreno está bem hoje.,Seguir com o que já está funcionando.,rascunho 13/09,rascunho
metabolico,baixo,nutri,"O Metabólico é o terreno mais carregado deste mapa: a energia oscila ao longo do dia e o comer acompanha essa oscilação. O padrão emocional associado é vazio e falta de propósito — e é o sistema onde sinal do corpo e comportamento alimentar se sustentam um ao outro.","Priorizar este sistema. Mapear o dia alimentar do café ao último horário, e o que acontece na hora antes da compulsão noturna. Alteração de exame relatada pede avaliação médica.",rascunho 13/09,rascunho
metabolico,baixo,paciente,"Sua energia tem oscilado muito ao longo do dia, e a comida vem tentando dar conta disso. Existe um vazio nessa conta que não é fome.","Reparar em que horas do dia a vontade aparece, e o que aconteceu antes.",rascunho 13/09,rascunho
metabolico,medio,nutri,O Metabólico tem sinais presentes sem dominar o quadro. Vale conferir a compulsão e a resposta depois das refeições.,Verificar compulsão e resposta pós-refeição.,rascunho 13/09,rascunho
metabolico,medio,paciente,Sua energia está oscilando ao longo do dia.,Observar como você se sente depois de cada refeição.,rascunho 13/09,rascunho
metabolico,alto,nutri,O Metabólico está equilibrado hoje.,Manter observação.,rascunho 13/09,rascunho
